Wehrmacht	ver-mákt
Dontól	donntól
Donyec	donyec
Doolittle	dúlitül
Doppelkopf	doppelkoff
Doppler	dopler
Dora Maar	dóra már
Dordellis	dordellisz
Dordogne	dáróny
Doria	dorijá
Dorieb	doríb
Dorman-Smith	dormen szmisz
Dornellis	dornellisz
Dornier	dornijé
Dorothy	doroti
Dorsetben	dórszetben
Dorsey	dórzi
Dottore	dottóre
Dottorét	dottórét
Douai	dúje
Douai-Péronne	duen perón
Douglas	dáglesz
Douglas Adams	dáglesz edemsz
Douglas Haig	dáglesz héjg
Douglas Richstone	dáglesz ricssztón
Douglasszal	dáglesszal
Douglastól	dáglesztól
Doumenc	dumánk
Doumergue	dümerg
Dover	dóver
Doveriszoroson	dóveri szoroson
Dovernél	dóvernél
Dovert	dóvert
Dovertől Lyme Dyig	dóvertől lím dí-ig
Dovertől Portsmouthig	dóvertől porszmáuszig
Dowd	dáud
Dowding	Downing
Downing	Downing
Doxy Ribonu-Clegg	dokszi ribonu-klegg
Dracul	drákul
Dragnet	drágnet
Dragoljub	drágoljúb
Dragoly	dragoj
Drakul	drákul
Drang nach Osten	dráng náhh ószten
Draper	drépör
Draskovichok	drashkovicsok
Draza Mihajlovic	drázá mihájlovics
Dregheol	dreg-eol
Drew	drú
Dreyfus	drejfusz
Dreyser	drejzer
Drimple	drimpöl
Drinápoly	drinápoj
Drinenbol	drinenból
Droste	drószt
Druget	drúget
Drumgo	drámgó
Drumgó	drámgó
Drusillát	druzillát
Drusus	drúszusz
Drusus Julius Caesar	drúszusz júliusz tcézár
DSM	déesem
Du Guesclin	dü geklan
Duarte	duár-te
Dubcek	dubcsek
Duberry	gyúberi
Dublinban	dáblinban
Dublint	dáblint
Dubnici	dubnici
Dubois	düboá
Dubuque Peoria	döbjűk pijórijá
Ducati	dákátti
Ducciót	duccsijót
Ducco	dákkó
Duce	dúcse
Ducében	dúcsében
Ducéhez	dúcséhez
Ducém	dúcsém
Ducénak	dúcsénak
Ducének	dúcsének
Ducét	dúcsét
Ducével	dúcsével
Duchamp	dúshemp
Duchesne	düsen
Dudley Clarke	dádli klárk
Dueze	dueze
Duff Whytock	dáff vitok
Dugard	dugár
Duke	gyúk
Dulles	dállsz
Duma	du-ma
Dumarsais	dümárszez
Dumas	dümá
Dumbarton Oaks	dámbárton óksz
Dumitru Sturdza	dumitru szturdza
Dumm	dúmm
Dumouriez	dümurijé
Duncan	dánken
Duncan Steelnek	dánken sztílnek
Dungeness	dándzsönesz
Dunkerque	dönkerk
Dunkerqueben	dönkerkben
Dunkerque-Boulogne	dönkerk bulony
Dunkerquehez	dönkerkhez
Dunkerqueig	dönkerkig
Dunwich Horror	dánv-iccs horror
Duomo	duómó
Duomó	duómó
Dupont Circle	düpón szörkül
Dupuy	düpjü
Durazzói	duráddzói
Durbin	dörbin
Durr	dúr
Dusan	dusán
Dusán	dusán
Düsseldorf	düsszeldorf
Dustin Moskovitz	dásztin moszkovitc
Dutch	dáccs
Dvke	dá-ik
Dvorak	dvorzsák
Dwight	dvájt
Dwoskin	dvórszkin
Dyer	díjer
Dylan	dilen
Dylath-Leen	dilát lén
Dynamical Theory	dájnömiköl tiöri
Dypher	dájfer
Dyson	dájszon
Dzsebel-Abiodnál	dzsebel-ábijódnál
Dzseríd	dzseríd
Dzsibuti-Addisz-Abeba	dzsibuti adisz abeba
Dzuikaku	dzuj-kaku
EAM	e-á-em
Earl Grey	őrl gréj
Eastbourne	ísztbörn
Eastern Front	ísztörn front
Eberau-Gass-Moschendorf	eberő gássz moshen-dorf
Eberhard	éber-hárt
Eberswaldéban	éberszváldéban
Ebert	ébert
EBMP	ebéempé
EBRD	ebéerdé
Eccentrica	ekszentrika
Eccentrica Gallumbitsszal	ekszentrika gallumbitsz-szal
ECHO	ekhó
Eckmannként	ekkermannként
École	éköl
Ecole Polytechnique	íkól politekník
Economic Affairs	ekonomiksz öfferz
Economic Security Project	ekonomik szekjuriti prádzsekt
ECU	e-cé-ú
Ecuadort	ekvádort
Eddie	edi
Eddington	edington
Edelpöck	edelpökk 
Edelsheim	édelsz-hejm
Edelstein	édelstejn
Edelwies	éjdelvájsz
Edennek	édennek
Edennel	édennel
Edent	édent
EDESZ	e-dá-e-esz
Edgar	edgár
Edgar Allan	edgár e-len
Edgebastonban	edzsbásztonban
Edinburgh	edinbörg
Edison	edizon
Edith Piaf	edit pijáf
Edmund Carter	endmund kárter
Edmund Halley	edmund héjli
Edmunt Henry Allenby	edmund henri elönbi
Eduardo Saverin	eduárdó száverin
Edward Bridgesnek	edvárd bridzsisznek
Edward Dean Adams	edvárd dín edemsz
Edward Snowden	edvárd sznóden
Edward Tyron	edvárd tájron
Edward Witten	edvárd vittön
Edwards	edvárdsz
Edwin Abbot	edvin ebot
Edwin Hubble	edvin háböl
Egert	e-gert
Egoist	egoiszt
Egressy	eg-resi
Egri	egri
Ehemaligen	éhemáligen
Ehenyk	ehenik
Ehrenfest	érenfeszt
Eichmann	ejh-man
Eidgenossen	ájdge-nosszen
Eidsvold	ejdszvold
Eiffel	ejfel
Eileen	ájlín
Eilona Arielnek	ejlona árijelnek
EIN	ájn
Einhard	ájnhárd
Einnahme	ejn-náme
Einsatzgrupp	ájnzácc-grupp
Einstein	ejn-stejn
Eisenach	ejzen-ákh
Eisenachon	ejzenáh-hon
Eisenho	ejzenó
Eisenhowemak	ejzenhaovernek
Eisenhower	ejzenháoör
Eisenstat	ájzen-shtát
EK	e-ká
EKG	ékágé
Elagabalus	elágábálusz
ELASZ	e-el-á-esz
Elba	el-ba
Elburz	elburtc
Elcano	elkánó
Elcanóval	elkánóval
Eldridge	eldrics
Electric	elektrik
Electrical	elektriköl
Electromagnetic	elektromegnetik
Elevation Partners	elövéjsön pártnörsz
Eliost	elioszt
Elisabeth	eliza-bet
Elisha Gray	eli-sha gréj
Elizabeth Warren	eli-zabet vóren
Ellen Pollock	ellen polák
Ellenbogent	ellenbógent
Ellicot	eliköt
Elliot Ness	elijot nessz
Elliot Schrage	eliot shrádzs
Elliott	elijot
Elmer	el-mer
ELTE	elte
Elvis	elvisz
Elvist	elviszt
Elyse Cheney	elíz cséjni
Elyseé	elizé
Emberg	imberg
Emerson Street	emerszon sztrít
EMI	íemáj
Emiliano Zapata	emílió szápátá
Emiliano Zapatát	emílió szápátát
Émilie Andéol	émil ándéól
Emily	emili
Emily Dickinson	emili dikinszon
Emmanuel	emánuel
Emmanuel Macron	emánuel mákrón
Emmeline Pankhurst	emölin pánkhörszt
Empire Boulevard	impájör bulvár
Empire Songa	impájör szonga
Empire State Building	impájör sztéjt bilding
Empress	empressz
Emsben	emszben
Encke	enki
Encyclopaedia Galactica	enciklopédia galaktika
Encyclopaedia Galacticát	enciklopédia galaktikát
Encyclopedia	enciklopédia
Endlösung	end-lőzung
Endlösung der Judefrage	endlőzung der júdenfráge
Enea Silvio Piccolomini	eneá szilvió pikkolomíni
Engels	eng-elsz
Engineer	indzsönír
England	inglend
Enigma	enig-ma
Ennius	ennijusz
Enola	e-nola
Enola Gay	eno-la géj
Enrico	enríkó
Enrico Dandolo	enríkó dándoló
Enrico Fermi	enríkó fermi
ENSZ	ensz
Enterprise	entörprájsz
Enterprise Institute	entörprájsz insztitút
Eohippus	eohi-ppusz
Eoin Colfer	eolin kólfer
EP	epé
Eperjes	eper-jes
Epheszosz	efeszosz
Epheszoszb	efeszosz
Epheszoszba	efeszoszba
Ephialtész	efijáltész
Ephilatész	efilátész
Epicuriouson	epikjúriöszön
Epidamnosz	pidámnosz
Epidauroszban	epida-uroszban
Epinalból	epinálból
Epinaltól	epináltól
EPR	epéer
Equis	ekvisz
Equities	ekvitíz
Erasmus	erászmusz
Erasmus Teuffel	erászmusz tójfel
Erat Demonstrandum	erát demonsztrándum
Erazmus	erázmusz
Erdogan	erdogán
Erebus	erebusz
Erhallung	erh-állung
Eric Londont	erik londont
Eric Schmidt	erik shmitt
Eric Simonof	erik szájmonov
Erie	íri
Eritrea	erit-rea
Erle	őrli
Ernest	ernszt
Ernest Mandel	örneszt mándel
Ernst	ern-szt
Ernst Bammel	ernszt bámmel
Ernst Busch	ernszt bush
Ernst Mach	ernszt makh
Ernst Röhm	ernszt rőm
Ernst Rutherford	ernszt rádörford
Ernstet	ernsztet
EROS	erosz
Erwin Rommel	ervin rom-mel
ESA	e-esh-a
Eschenbach	essen-bach
Escorialba	eszkoriálba
Esflovian	eszflóviján
ESMA	eshma
Esmeralda	eszmeráldá
Esmeraldá	eszmeráldá
Esmonde	ezmond
Esnunnát	esznunát
Espanola	eszpányóla
Esquilinus	eszkvilinusz
ESS	íjeszesz
Essen	esszen
Essexet	eszekszet
Establishment Summit	esztáblishment számmit
Estado	esztádó
Esterházy	eszterházi
Esteva	eszteva
Észak-Indiát Bharatavarsának	észak-indiát barata-varsának
ESZP	e-essz-pé
Etana	itáná
Étaples	étáplö
Etat	etát
Ethan Zuckerman	ítön tcukker-man
Etienne	étyijen
Étienne-Laurent	étyijen loren
Etna	et-na
Etonből	ítönből
EU	eu
Eubank	eubank
Eugene Cremmer	özsen krémer
Eugénie	özseni
Eukleidész	euklidész
Euler	ójler
Eunus	éjunusz
Euphratésznél	eufrátesznél
Eureka	euréka
Euripidész	euripidész
Europe	juróp
Eurübiadész	eurü-bijádész
Eusebius	euzé-biusz
Evans	ívönsz
Evelda	eveldá
Eveldá	eveldá
Evelyn	eve-lin
Everett	eve-ret
Evershed	evörshed
Evill	ívöll
Evita	evi-ta
Evyan	eviján
Excellenciád	ekszelencijád
Excelsior	ekszelzijór
Excentrica Bigbang	excentrika bigbeng
Exodust	ekszódusz
Experimenter	ikszperimentör
Extra	eksztra
Ezio Pinzára	edz-ijó pindzárá
Fabius	fábijusz
Fabre	fábrö
Faccbook	fészbúk
Face Book	féjsz-búk
Faceboo	fészbúk
Facebook	féjsz-búk
Facebook Menlo Park	fészbúk menló park
Factát	faktát
Factual Democracy Project	fekcsúöl demokröszi prádzsekt
Fadlan	fádlán
Fadlán	fádlán
Fairfield Osborn	ferfíld oszbórn
Falaise	fáléze
Falaise-Avranches	fález-avransh
Falange	fálánzs
Falcione	fálcsóne
Falcioné	fálcsóné
Falkenhayn	fálkenhájn
Falkenstein	fálken-shtejn
Fall	fáll
Falls Hydraulic Power	fálsz hidraulik páoör
Falmouthból	fálmáuszból
familia rustica	fámílijá rúsztiká
familia urbana	fámílijá urbáná
Familie	fámílije
Fancy Bear	fenszi béör
Faraday	feredéj
Faragho	faragó
Farmacia	fármcsijá
Farmaciá	fármcsijá
Farnese	fárnéze
Farriday	ferödéj
Faruk	fáruk
Fasci	fász-tci
Fashod	feshőd
Fatah	fátáh
Fatia Negrája	fács-csijá negrája
Fatimidák	fátámidák
Faucher	fóser
Fauchon	főson
Faucival	fószival
Faust	fauszt
Favorinói Chiara	fávorínóji csárá
Fayette	fájett
Fazy	fázi
FBI	efbíáj
FDI	efdéí
Fearnow	fírnáó
Fécamp	fékám
Federal Expresst	federöl ekszpressz-t
Federal Steel	fedöröl sztíl
Feiling	fejling
Feinstein	fájn-sztín
Feldherrnhalle	feld-hern-hálle
Felicia	felisha
Feliciana	felicsjáná
Felicianá	felicsjáná
Feliksz Dzerzsinszkij	féliksz dzsedzsinszkíj
Felix Cytrin	feliksz szitrin
Felix Díaz	féliksz diáz
Felix Kleint	féliksz klájn
Felix Schwarzenberg	félix shvártzen-berg
Felixstowe	féliksztáv
Fell	fell
Felti	felti
Fenchchurchnek	fencs-csörcsnek
Fenchurch	fencs-csörcs
Fenice	fenícse
Ferabosco	ferráboszkó
Ferdinand Hardegget	ferdinánd hárdegget
Ferdinand Lassalle	ferdinánd lázál
Ferdinand Lesseps	ferdinánd löszepsz
Fergana	fergáná
Ferguson	förgászön
Fernando	fernándó
Ferrabosco	ferráboszkó
Ferraboscó	ferráboszkó
Ferragamos	ferrágámosz
Ferrara	ferrárá
Ferris	ferisz
Festetich	festetics
Feszty	feszti
Feuerbach	fójer-bach
Feynman	fejnman
Fezt	fetz
FHB	efhábé
FHV	efhávé
FIAT	fiját
Fibonacci	fibonáccsi
Fidel Castro	fidel kásztró
FIFA	fifa
Fifth Avenue	fift evönyú
Figueiredo	fivierdó
Filippino Baby	filip-pínó bébi
Fillinger	fillin-ger
FINDER	fájndör
Fintlewoodlewix	fintölvúdölviksz
Fiona	fijóna
Firenze	fire-nze
First National Bank	förszt nesönel benk
Fischamendnél	fish-ámendnél
Fitzgerald	fidzseráld
FKGP	efkágépé
FKL	efkáel
Flaccust	flákkuszt
Flandin	flendin
Flandria	fla-ndrija
Flandriá	fla-ndrijá
Flandriában	fla-ndriában
Flandriával	fla-ndriával
Flanux	flánuksz
Flatt	flett
Flavianum	flávijánum
Flavius	fláviusz
Flea Streetben	flí sztrítben
Fleur	flőr
Fleury	flöri
Florence Nightingale	florensz nájtingél
Floyd	flojd
Fluid	flúid
Flusser	flüsz-szer
Fluvio Melia	flúvió meliá
FM	efem
fMRI	ef emeri
Foch	fosh
Focke Wulf	fokk vúlf
Focke-Wulf	fokk vulf
Focke-Wulfokat	fokk vúlfokat
Focke-Wulfot	fokk vúlfot
Fogg	fóg
Foliavintus	foliavintusz
Folkestonetól Bognorig	folksztóntól bágnörig
Fondue	fondü
Forbes	fórbsz
Ford	ford
Forensic Inquiry	forenszik inkvájöri
Foresight	fórszájt
Forest	foreszt
Formosust	foromozuszt
Forschungen	fórsúlen
Fort	fort
Fort Wayne Journal-Gazette	ford véjn dzsurnöl gázet
Fortify Rights	fortifáj rájtsz
Fortitude	fortitúd
Fortune	forcsön
Forum	fórum
Forum Boarium	fúrum boárijum
Forumtól Capitoliumig	fórumtól kapitólijumig
Foster Graham	foszter grehem
Fotitch	fotics
Fouché	fosé
Foucher	foser
Fouchéval	foshéval
Fowler	fóler
FRAGE	fráge
Fragilis	frágilisz
Framm	frámm
France	fransz
Frances	fránszesz
Francesco Crispi	fráncseszkó kriszpi
Franche-Comte	fransh komt
Franche-Comtéval	fráncsé komtéval
Franchet d’Esperey	franse deszpöre
Francis	frenszisz
Francis Bacon Crocker	frenszisz békön krákör
Francis Crickkel	frenszisz krikk
Francisco	fránsziszkó
Franciscó	fránsziszkó
Francisco Pizarro	fránsziszkó piddzáró
Francisért	frensziszért
Francisszel	frenszisszel
Francist	frensziszt
Franciszek Honiokot	fránciszek honijokot
Francli	fránkli
Franco	fránkó
Francois-Poncet	fránszoá punsze
Francóval	frankóval
Frank	frenk
Frank Adams	frenk edemsz
frank augustus	frank agusztusz
Frank Wilczek	frenk viltcek
Frankel	frenkel
Frankfurter	frank-furter
Frankiin	frenklin
Franklin	frenklin
Franklin Roosevelttel	frenklin rózevelt-tel
Frantisek Palacky	frántiszek plákki
Frantz	frántz
FRAQ	efer-ákú
Fraser	frézer
Fraz	fráz
Fred Hoyle	fred hójl
Fred Reins	fred rájnz
Frederick Douglassre	frederik dáglesszre
Frederick Hallam	frídrik hálám
Frederick Loundsnak	frederik láudsznak
Fredericka	fred-eriká
Fredrica	frederiká
Fredricá	frederiká
Freedom	freídom
Freeeeeddyyyyy	fredííí
Freeman Dyson	frímen dájszon
Freetown	frítáun
Freiherr	fráj-her
Freikorps	frájkorpsz
Frenkel	frenkel
Frére	frér
Fretensis	freten-szisz
Freud	frajd
Freya	freja
Freyberg	frej-berg
Fridrich	fríd-rik
Friedeburg	frídburg
Friedell	fridel
Frieden	fríden
Friedland	frídlend
Friedlandba	frídlándba
Friedman	frídmen
Friedmanhez	frídmenhez
Friedmann	frídmen
Friedrich	frídrih
Friedrich Nietzsche	fridrik nícse
Friendster	frendsztör
Frier	frír
Friesland	fríszlánd
Fritsch	frics
Fritz Haber	dritc háber
Fritzie Zivic	fritci tcivik
Fronde	frond
Front	frónt
Front National	front nesönel
Frootmig	frútmig
FSZFF	efeszefef
Ftábor	eff tábor
FTC	eftétcé
Fucsien	fucsijen
Fuerza Latina	fuertcá látíná
Fugger	fug-ger
Führer	fűrer
Fuka	fúka
Fulda	ful-da
Fulton	fulton
Gaál Gaszton	gál gászton
GABO	gabó
Gabo Kiadó	ga-bó kiadó
Gabriele Veneziano	gábriel venedziánó
Gadhernek	gádernek
Gafszát	gáfszát
Gagarin	gag-arin
Gaia	gájjá
Gaius	gájjusz
Galakticredit	galaktikredit
Galata	gálátá
Galatiában	galácijában
Galbraith	gáldbresz
Galenus	gálenusz
Galeotto	gále-ottó
Galerius	gálérijusz
Galilca	gali-lea
Galilea	gali-lea
Galileaifennsík	galilei fennsík
Galilee	gali-lea
Galilei	gali-lei
Galileo	galileó
Galileo Farraris	gal-ileó ferisz
Galileo Galileit	galileó gali-leit
Galina	gáliná
Galla Placidia	gállá plászidá
Galla Placidiát	gállá plászidát
Gallienus	galli-jnusz
Gallipolinál	galipolinál
Gallus	gállusz
Gama	gám
Gamalai	gama-lai
Gamble	gemböl
Gamelin	gámlen
Gammell	gámmel
Gamow	gamov
Gander	gánder
Gandhi	gandi
Ganemmel	genömmel
Garam	ga-ram
Garbo	gárbó
Garching	gárcsing
Garcia	gárszija
García	gárszija
Garda	gárda
Gari Lynn Billingsley	geri lin billingszli
Garibaldi	gari-baldi
Garrett	geret
Garrett Hobbson	geret hobszon
Garrett Jacob Hobbsot	geret dzsékob hobszot
Garri Kaszparovot	gári kaszparovot
Garrigue	gárig
Garrison	geriszon
Gary	geri
Gary Andresstől	geri ándressztől
Gary Horowitz	geri horovitc
Gary Kowalski	geri kovalszki
Gary Sanders	geri szendörsz
Gascogne	gászkony
Gasperi	gászperi
Gaston	gászton
Gaston Hallban	gászton hólban
Gasztello	gásztelló
Gates	géjtsz
Gateway	géjtvéj
Gaugamela	gaug-améla
Gaulard-Gibbs	golár gibsz
Gauleiter	gau-lájter
Gaunt	gónt
Gauss	gausz
Gavin Newsommal	gevin nyúszommal
Gavrilovic	gávrilovics
Gawker	góker
GCC	dzsí-szíszí
Gchat	dzsí-cset
Gcoghegan	gőgegán
Gdansk	gdaanszk
Gdanskért	gdan-szkért
GDP	dzsídípí
GE	dzsí-í
GEC-EBRD	gé-e-tcé-ebéerdé
Geco	gekó
Gedlurnbits	gedlörnbitsz
Geehan	dzsíhen
Geiger	gejer
Geilenkirchen	gejlenkirsen
Geimber	gejmber
Geiserich	gejserih
Geissler	gájszler
Gemina	gemina
Gene Roddenberry	dzsín rodden-berri
Gene Trimble	dzsín trimöl
General Archives	dzseneröl arhájvsz
General Briare	zseneral brijer
General Electric	dzseneröl elektrik
General Statennel	dzsenerál sztetönnel
General Weygand	zseneral véjgran
Générale	zsénérál
Generalgouvernement	zsenerál-güvernmen
Genes	dzsínz
Genetrix	dzsenetriksz
Genfben	genf-ben
Genius	géniusz
Gennargentu	dzsenárdzsentu
Gennath	dzsenász
Genova	dzsenova
Genován	dzsenován
Genovával	dzsenovával
Genscher	gen-ser
Gensoul	zsoszul
Gentilhomme	zsantijöm
Gentilis	dzsentilisz
Geoffrey	dzsof-ri
Geoffrey Burbidge	dzsofri bördbridzs
Geoffrey Chaucer	dzsofri csószer
Geoffrey Potocki	dzsofri pátoki
Geoffry Sachs	dzsoffri szeksz
Geoghegan	gőgegán
Geographiája	geográfiája
Georg Paradeiser	ge-org párá-dízer
Georg Thorfinnssenre	georg torrfinszenre
George	dzsordzs
George 	dzsordzs
George Clerk	dzsordzs klerk
George Monk	dzsordzs monk
George Washingtont	dzsordzs vasingtont
Georges	zsorzs
Georges Clemenceau	zsorzs klemenszó
Georges Danton	dzsorzs dánton
Georges Duby	dzsordzs dubi
Georges-Louis Buffon	zsorzs-lují bufon
Georgetown	dzsordzs-táun
Georgi Dimitrov	gregorí dimitrov
Georgia	dzsordzsa
Georgiai	dzsordzsai
Georgica	geor-gika
Georgicont	geor-gikont
Georgij Lvov	gregoríj lövóv
Georgiu Baritiu	dzsórdzsu báritu
Gerald Ford	dzserárd ford
Gerascsenko	gerascsenkó
Gerbert	gerb-ert
Gerd	gerd
Gergely	ger-gej
Gerhard	ger-hárd
Gerhardt Bohne	zserár bón
Gerizim	dzserizim
Germain	zsörmen
Germania	germánija
Germanicus	germánikusz
Geronimónak	dzseronímónak
Gesellschaft	gezell-sáft
Gesta Hungarorumban	gesta hunga-rórumban
Gestap	gestáp
Gestapo	gest-apó
Gestaponál	gestápónál
Gete	zset
Gettysburgbc	getisz-börgbe
Gewerkschaft Securitas	geverksáft szekuritász
Ghaznavidák	gáznávidák
Gheorghiu	görgjú
Ghettim	gettim
ghibellin	gibellin
Ghiberti	giberti
Ghiraj	giráj
Ghonim	gónim
Ghyczy	gitzi
Giacomo Durando	dzsákomó durándó
Gianbattista Castaldo	dzsijánbáptisztá kásztáldó
Gibson-Hawking	gibzon-hóking
Gideon Hausner	gidion hauszner
Gien	dzsen
Giers	gírsz
Gigantomakhiát	gigantomakiját
Gil Robles 	zsill roble
Gilbert	zsilbert
Gilbert Stuart Washington	gilbört sztúárt vasington
Gilded	dzsildöd
Giles Dumain	zsill düm-en
Gilian Blake	dzsilien blék
Gillespie	dzsilszpáj
Gillis	zsillz
Gimes	gi-mes
Gingko Biloba	ginkó bilóba
GINI	dzsini
Ginzburg	ginz-burg
Gioberti	dzsoberti
Giolitti	dzsolitti
Giorgio	dzsordzsó
Giorgio Vasari	dzsordzsó vászári
Giotto	dzsottó
Giottó	dzsottó
Giovanni	dzsovánni
Giovanni Doria	dzsovánni dorija
Giovanni Giolitti	dzsovánni dzsolitti
Giovanni Medici	dzsovánni medicsi
Girardeau	zsirár-dő
Giraud	zsiró
Girls	görlz
Girolamo	dzsirolámó
Girolamo Savonarola	dzsirolámó szavonaróla
Gironde	zsirond
Giscard	zsiszkár
Gisin	dzsizin
Giskra	gishkra
Giudici	dzsúdicsi
Giuliano	dzsulijámó
Giulianó	dzsulijámó
Giuliano Rovere	dzsuliánó róvere
Giulio Turcho	dzsúlió turcsó
Giuseppe Mazzini	dzsuzeppe máddzíni
Givenchy	dzsivencsi
Givet	zsivé
Givet-Namur	zsivé námúr
Gizmodo	dzsizmodó
GKI	géká-í
Gladiator	gladijátor
Gladstone	glád-sztón
Glaser	glászer
Glashow	gláshó
Glastonbury	glásztonbörri
Gleiwitz	glájvic
Glenn Beck	glenn bekk
Glenn Stackmann	glen sztekmen
Glinszkij	glínszkíj
Global Positioning System	globöl pozisöning szisztem
Globe	glób
Gloria Steinem	gloória sztrájnem
Gloucester	glokeszter
Gmail	dzsíméjl
Gneisenau	gnejszenau
Gnorrik	gnorrik
Gnyezdovo	gnyez-dovó
Goat Island	gót ájlönd
Göbbels	göbb-elsz
Goddard Institute	gúdörd insztitút
Godesbergbe	gődesz-bergbe
Godfroy	godfroj
Godwin-Austen	godvin ósztin
Goebbels	göbbelsz
Goenka	goenka
Golby	golbi
Goldberg	gold-berg
Golgafrincham	golga-frincsem
Goluchowski	glushovszki
Gonder	gonder
Good Will Hunting	gúd vill hánting
Goodman	gúdmen
GOODYEAR DOUBLE EAGLE	gúdyőr dáböl ígöl
Googleplex Gondolkodó Csillaga	gúgölpleksz gondolkodó csillaga
Goonhilly	gúnhilli
Gordon	gor-don
Gordon Kane	gordon kéjn
Gore	gór
Görgey	görgei
Göring	gőring
Gort	gort
Gospels	gosz-pelz
Gospic	goszpik
Gossage	gászidzs
Gothában	gotában
Gott	gott
Gottfried Leibniz	gotfríd lejbnizc
Gould	gúld
Goules	gúlz
Gove	góv
GPS	dzsípíesz
Graaf	gráf
Grabski	grabszki
Gracchus	gráhhusz
Gracie	grészi
Graf Spee	gráf spé
Grafton	gráfton
Graham	grehem
Grahme	gráme
Gramsci	grámszki
Granada	gran-ada
Grand Armada	gránd ármádá
Grand Sasson	gran szászón
Grand Street	gránd sztrít
Grand Unified	grand júnifájd
Grandétól	grándétól
grandeur	grándőr
Grandi	grándi
Grand-Quartier	grán kvártyijé
Grant	grent
Gratus	grátusz
Gravelines	grávlin
Gravesend	gréjvszend
Gravitációs	gra-vitációs
Gray	gréj
Graz	grátc
Graziamtól	grácijámtól
Grazién	grácijén
Great	gréjt
Great Barrington	grét berington
Green	grín
Green Lane	grín léjn
Greenblatt	greínblátt
Greenspan	grínszpen
Greer	grír
Greg Bear	greg béör
Greg Laughlin	greg láflin
Greg Mauert	greg mau-ert
Gregor Strasser	gregor strásszer
Gregoriana	gregoriáná
Greta Garbo	gréta gárbó
Gretchen Townban	grecsen táunban
Grimm	grim
Gritti	grit-ti
Groener	grőner
Gromiko	gromikó
Grönland	grön-land
Gross	grossz
Gross Rosen	grossz rózen
Group	grúp
GRU	géerú
Grumann Gulfstream	grú-man gálfsztrím
Grumman	grú-men
Guadalajaránál	gvádáláháránál
Guadalcanal	gvádálkánál
Guam	guám
Guamot	guámot
Guanahani	guánáháni
Guardian	gárdijen
Guardiannek	gárdiennek
Guatemala	gvate-mala
Guatemalába	gvátemálába
Guayaquilben	gvájákilben
Gubbins	gábensz
Gucci	guccsi
Guccifer	dzsúsziför
Guderian	gúderiján
guelf	gvelf
Guernicának	gernikának
Guernsey	gernzi
Guevara	guev-ara
Guide	gvájd
Guido	gujdó
Guido Schmidtet	gujdó smittet
Guido Schmidttel	gujdó smittel
Guinea	gínea
Guinness	gínisz
Guiscard	zsiszkár
Guise	gíz
GULAG	gulág
Gulagok	gulágok
Gulfstream	gálf-strím
Gumb	gámb
Günzburgban	günc-burgban
Gupta	gupta
Gurdjieff	gurdzsiev
Gurion	gurijon
Gustav	gusztáv
Gustav Bimmel	gusztáv bim-mel
Gustav Genschov	gusztáv gensov
Gustav Vasa	güsztáv vasza
Gustloff	gusz-loff
GUT	gút
Guten Abend Jungs! Ihr werdet bald alle krepieren, nachher aber kommen wir.	gúten ábend jungsz! Ír ver-det báld álle krepíren, náh-her áber kommen vír.
Guth	gút
Guthi	gúti
Guyanába	gvájánába
Guyon	guj-on
GWU	gé duplavé ú
Gwyneth Paltrow	gvinet pátró
Gyermekei	gyermekei
Gyönyörű Sarnath	gyönyörű szárnát
Haas	hász
Habeas	hábe-ász
Haber	háber
Habermast	hábermászt
Habichtsburgról	hábihtsz-burgtól
Habrey	hébri
Habsburg	habsz-burg
Hack Team	hekk tím
Hacker	hek-ker
Hadikomputer	hadikompjúter
Hadrianopolis	hadrijánopolisz
Hadron	hadron
Hadrumetum	hadrometum
Hadzsi Murat	hádzsi murát
Hafner	hefner
Hafré	háf-ré
Hagelin	hégelájn
Hagelmayer	hágel-májer
Hagen	hágen
Hagia Sophia	ájá szófija
Hagia Sophiát	aja-szófiját
Hahnemüle	háne-mülle
Haida	hájdá
Haig	héjg
Haireddin	heredin
Hake	hék
Half Moon Bayben	hálf mún béjben
Half Moon Investigations	hálf mún invesztigéjsönz
Halfruntot	hálfruntot
Hali	heli
Halifax	helifeksz
Halifaxszel	helifekszel
Hall	hól
Hallam	hálám
Halley	héjli
Hamburg	ham-burg
Hamilton	hemilton
Hamlet	hamlett
Hammacher Schlemmer	hámáhher slemmer
Hammois Totalleé	hemoá totálé
Hammurapi	hamurappi
Hammurápi	hamu-rappi
Hampden	hempdön
Hampshire	hemp-sír
Hanford	henford
Hanfstaengl	henfsztengl
Hangö	hángő
Hangu	hángu
Hanks	henksz
Hannah	háná
Hannibál	hanibál
Hannibal ante portas	hanibál ánt-e portász
Hannibal Lecter	hanibál leh-ter
Hannibaléhoz	hanibáléhoz
Hannover	hanóver
Hanoi	hanoji
Hans	hánsz
Hans Bethe	hánsz bít
Hans Moravec	hánsz moravetc
Hansemannt	hánsze-mánnt
Hanwha	hanva
Harbath	hárbász
Harbor	hárbor
Harbour	hárbör
Harcias Frigyes	harcijas frigyes
Hardand	hárdánd
Hardy	hárdi
Hare	hár
Harfleur	áflőr
Hargreaves	hárgrívsz
Harl	hárl
Harléról	hárléról
Harley Warren	hárli vóren
Harley-Davidson	hárli déjvid-szon
